word,synset_1,synset_2,synset_3,synset_4,synset_5,synset_6,synset_7,synset_8,synset_9,synset_10,synset_11,synset_12,synset_13,synset_14,synset_15,synset_16,synset_17,synset_18,synset_19,synset_20,synset_21,synset_22,synset_23,synset_24,synset_25,synset_26,synset_27,synset_28,synset_29,synset_30,synset_31,synset_32,synset_33,synset_34,synset_35,synset_36,synset_37,synset_38,synset_39,synset_40,synset_41,synset_42,synset_43,synset_44,synset_45,synset_46,synset_47,synset_48,synset_49,synset_50,synset_51,synset_52,synset_53,synset_54,synset_55,synset_56,synset_57,synset_58,synset_59,synset_60,synset_61,synset_62,synset_63,synset_64,synset_65,synset_66,synset_67,synset_68,synset_69,synset_70,synset_71,synset_72,synset_73,synset_74,synset_75,synset_76,synset_77,synset_78,synset_79,synset_80,synset_81,synset_82,synset_83,synset_84,synset_85,synset_86,synset_87,synset_88,synset_89,synset_90,synset_91,synset_92,synset_93,synset_94,is_saved
aderyn,anifail,edn,hediad,hedfan,aderyn mudlais,adar,fertebrat,natur,ysglyfaeth,aderyn pensidan,brân,fertebra,iâr,ysglyfaethwr,cywion,rhywogaeth,aderyn y frochell,diadell,bwncath,plu,aderyn canu,cyw,nyth,pioden,adain,bilidowcar,aderyn bach y si,nythu,barcut,wŷ,gwylan,ehediad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
aelod,aelod seneddol,cynrychiolydd,cymrawd,cydymaith,perthyn,rhan,aelod o dîm,aelodaeth,aelod o gynghrair,dadogi,aelod o deulu,cydweithredwr,dilynwyr,unigolyn,grwp,rhan o dîm,uned,darn,rhan o grŵp,rhan o'r corff,adran,arweinydd,aelod o glwb,safle,sefydliad,cyfundrefn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
agos,gerllaw,cyfagos,clos,bron,lleol,nesau,cyffwrdd,clòs,heb fod ymhell o,annwyl,bwys,ger,ar bwys,union,o fewn ychydig i,ymron,wrth ymyl,o fewn dim,ymyl,cyfleus,bron â bod yn,nesaf,agos atoch,cyfarwydd,agosatrwydd,hoff,twym,wrth,braidd,agos at fy nghalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
amheus,ansicr,petrus,drwgdybus,amhendant,dadleuol,gwamal,amwys,anargyhoeddedig,ansefydlog,drwgdybio,di-ffydd,amau,yn amau,annhebygol,niwlog,problematig,pryderus,dyrys,petrusgar,annibynnadwy,annibynadwy,anghredadwy,amhenderfynol,rhanedig,anwadl,aneglur,aflonydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
aml,rheolaidd,cyson,yn fynych,cyffredin,llawer,arferol,drachefn,toreithiog,niferus,helaeth,llawer gwaith,bob hyn a hyn,mynych,o bryd i'w gilydd,weithiau,lluosog,yn gyson,normal,naturiol,toreithog,cyffredinol,lot,brith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
amlwg,clir,eglur,diamwys,gweladwy,enwog,plaen,pendant,adnabyddadwy,digamsyniol,blaenllaw,adnabyddus,cyfarwydd,blaengar,dealladwy,syml,darllenadwy,croyw,bendant,diymwad,clywadwy,sicr,esboniadol,llachar,nodedig,pwysig,dybryd,hygyrch,hysbys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
amser,adeg,achlysur,pryd,cyfnod,oes,tro,awr,amseriad,cloc,blwyddyn,oriawr,munud,eiliad,pan,term,amserlen,hyd,canrif,amseru,amserol,mesuriad,epoc,tymor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
anadlu,mewnanadlu,resbiradu,allanadlu,cymryd anadl,chwythu,chwyth,ochneidio,nwyf,cymryd gwynt,griddfan,anadlu'n drwm,byw,chwythu drwy,allananadlu,gwynt,treiddio drwy,allyrru,ebychu,ffroeni,bywyd,peuo,bod,anadlu'n rhwyddach,einioes,awyru,goranadlu,hanfod,egni,bodoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
aneglur,amwys,niwlog,amhendant,annealladwy,dryslyd,amhenodol,annelwig,afloyw,anghlir,cyfarwyddiadau aneglur,cymylog,ansicr,esboniad aneglur,ateb aneglur,arholiad aneglur,cymylu,diafael,brith,neges aneglur,aneglur,astrus,ansefydlog,cymysglyd,tywyll,bloesg,anhryloyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
angen,eisiau,rhaid,anghenraid,angenrheidiol,anghenion,angenrhaid,gofyniad,isio,yn gorfod cael,dymuno,hawl,gofyn,diffyg,gorfodaeth,brys,erfyn,ceisio,awydd,rheidrwydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
anodd,caled,trafferthus,heriol,llafurus,cymhleth,afrwydd,cas,annifyr,anghyfleus,ffwdanus,uchelgeisiol,dyrys,astrus,drysys,hanfodol,poenus,baich,anhydrin,anhawster,ystyfnig,anystywallt,problematig,ymrechgar,gwydn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
